instrument_name,strike,tipo,vencimento,mark_iv,mark_price_btc,underlying_price,best_bid,best_ask,open_interest,volume_24h,delta,gamma,vega,theta
ETH-4SEP26-2400-C,2400.0,CALL,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2400-P,2400.0,PUT,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2420-C,2420.0,CALL,2026-09-04 08:00:00+00:00,41.98,0.0112,2405.7,0.011,0.012,537.0,574.0,0.43996,0.00467,0.79427,-6.51861
ETH-4SEP26-2420-P,2420.0,PUT,2026-09-04 08:00:00+00:00,41.98,0.0173,2405.33,0.017,0.0185,412.0,416.0,-0.56177,0.00466,0.79362,-6.51324
ETH-4SEP26-2440-C,2440.0,CALL,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2440-P,2440.0,PUT,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2450-C,2450.0,CALL,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2450-P,2450.0,PUT,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2460-C,2460.0,CALL,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2460-P,2460.0,PUT,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2480-C,2480.0,CALL,2026-09-04 08:00:00+00:00,43.34,0.0041,2405.67,0.0039,0.0044,131.0,52.0,0.20595,0.00326,0.57374,-4.86163
ETH-4SEP26-2480-P,2480.0,PUT,2026-09-04 08:00:00+00:00,43.34,0.0351,2405.62,0.0,0.0,2.0,2.0,-0.79421,0.00326,0.57346,-4.85924
ETH-4SEP26-2500-C,2500.0,CALL,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2500-P,2500.0,PUT,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2520-C,2520.0,CALL,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2520-P,2520.0,PUT,2026-09-04 08:00:00+00:00,45.31,0.0497,2405.67,0.0,0.0,0.0,0.0,-0.88592,0.00212,0.38866,-3.44291
ETH-4SEP26-2540-C,2540.0,CALL,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2540-P,2540.0,PUT,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2550-C,2550.0,CALL,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2550-P,2550.0,PUT,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2600-C,2600.0,CALL,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2600-P,2600.0,PUT,2026-09-04 08:00:00+00:00,51.07,0.0815,2405.67,0.0,0.0,57.0,0.0,-0.96372,0.00077,0.16024,-1.59996
ETH-4SEP26-2650-C,2650.0,CALL,2026-09-04 08:00:00+00:00,55.31,0.0003,2405.67,0.0003,0.0004,5591.0,28.0,0.01941,0.00042,0.09504,-0.77207
ETH-4SEP26-2650-P,2650.0,PUT,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2700-C,2700.0,CALL,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2700-P,2700.0,PUT,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2800-C,2800.0,CALL,2026-09-04 08:00:00+00:00,71.83,0.0001,2405.67,0.0001,0.0002,3927.0,207.0,0.00631,0.00012,0.03578,-0.28752
ETH-4SEP26-2800-P,2800.0,PUT,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2900-C,2900.0,CALL,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2900-P,2900.0,PUT,2026-09-04 08:00:00+00:00,80.12,0.2057,2405.67,0.0,0.0,0.0,0.0,-0.99705,6e-05,0.01816,-0.28438
ETH-4SEP26-3000-C,3000.0,CALL,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-3000-P,3000.0,PUT,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
